,Ticker,Price
2023-04-20,KO,63.959999084472656
2023-04-21,KO,64.05000305175781
2023-04-24,KO,63.95000076293945
2023-04-25,KO,63.849998474121094
2023-04-26,KO,63.54999923706055
2023-04-27,KO,63.68000030517578
2023-04-28,KO,64.1500015258789
2023-05-01,KO,64.30000305175781
2023-05-02,KO,64.01000213623047
2023-05-03,KO,63.650001525878906
2023-05-04,KO,63.720001220703125
2023-05-05,KO,64.0199966430664
2023-05-08,KO,63.91999816894531
2023-05-09,KO,63.38999938964844
2023-05-10,KO,63.5
2023-05-11,KO,63.86000061035156
2023-05-12,KO,64.11000061035156
2023-05-15,KO,63.939998626708984
2023-05-16,KO,63.220001220703125
2023-05-17,KO,63.150001525878906
2023-05-18,KO,62.79999923706055
2023-05-19,KO,62.83000183105469
2023-05-22,KO,61.5099983215332
2023-05-23,KO,61.400001525878906
2023-05-24,KO,60.880001068115234
2023-05-25,KO,60.40999984741211
2023-05-26,KO,60.2599983215332
2023-05-30,KO,59.779998779296875
2023-05-31,KO,59.65999984741211
2023-06-01,KO,60.0
2023-06-02,KO,61.15999984741211
2023-06-05,KO,60.75
2023-06-06,KO,60.310001373291016
2023-06-07,KO,60.220001220703125
2023-06-08,KO,60.369998931884766
2023-06-09,KO,60.470001220703125
2023-06-12,KO,60.209999084472656
2023-06-13,KO,60.45000076293945
2023-06-14,KO,60.86000061035156
2023-06-15,KO,61.22999954223633
2023-06-16,KO,61.66999816894531
2023-06-20,KO,61.2599983215332
2023-06-21,KO,61.43000030517578
2023-06-22,KO,61.849998474121094
2023-06-23,KO,61.20000076293945
2023-06-26,KO,61.220001220703125
2023-06-27,KO,61.09000015258789
2023-06-28,KO,60.52000045776367
2023-06-29,KO,60.02000045776367
2023-06-30,KO,60.220001220703125
2023-07-03,KO,60.58000183105469
2023-07-05,KO,61.029998779296875
2023-07-06,KO,60.560001373291016
2023-07-07,KO,59.7599983215332
2023-07-10,KO,59.310001373291016
2023-07-11,KO,59.52000045776367
2023-07-12,KO,59.84000015258789
2023-07-13,KO,60.349998474121094
2023-07-14,KO,60.900001525878906
2023-07-17,KO,60.810001373291016
2023-07-18,KO,60.56999969482422
2023-07-19,KO,61.63999938964844
2023-07-20,KO,62.38999938964844
2023-07-21,KO,62.439998626708984
2023-07-24,KO,62.459999084472656
2023-07-25,KO,62.25
2023-07-26,KO,63.04999923706055
2023-07-27,KO,62.439998626708984
2023-07-28,KO,62.47999954223633
2023-07-31,KO,61.93000030517578
2023-08-01,KO,61.77000045776367
2023-08-02,KO,61.959999084472656
2023-08-03,KO,61.63999938964844
2023-08-04,KO,60.709999084472656
2023-08-07,KO,61.189998626708984
2023-08-08,KO,60.91999816894531
2023-08-09,KO,61.060001373291016
2023-08-10,KO,60.91999816894531
2023-08-11,KO,61.16999816894531
2023-08-14,KO,60.880001068115234
2023-08-15,KO,60.470001220703125
2023-08-16,KO,60.47999954223633
2023-08-17,KO,60.61000061035156
2023-08-18,KO,60.95000076293945
2023-08-21,KO,60.43000030517578
2023-08-22,KO,60.060001373291016
2023-08-23,KO,60.27000045776367
2023-08-24,KO,60.11000061035156
2023-08-25,KO,60.38999938964844
2023-08-28,KO,60.560001373291016
2023-08-29,KO,60.5
2023-08-30,KO,60.470001220703125
2023-08-31,KO,59.83000183105469
2023-09-01,KO,59.310001373291016
2023-09-05,KO,58.81999969482422
2023-09-06,KO,58.779998779296875
2023-09-07,KO,58.33000183105469
2023-09-08,KO,58.33000183105469
2023-09-11,KO,58.880001068115234
2023-09-12,KO,58.29999923706055
2023-09-13,KO,58.439998626708984
2023-09-14,KO,58.459999084472656
2023-09-15,KO,57.939998626708984
2023-09-18,KO,58.29999923706055
2023-09-19,KO,58.18000030517578
2023-09-20,KO,58.439998626708984
2023-09-21,KO,57.540000915527344
2023-09-22,KO,57.599998474121094
2023-09-25,KO,57.0
2022-09-01,MCD,256.4700012207031
2022-09-02,MCD,254.50999450683594
2022-09-06,MCD,254.38999938964844
2022-09-07,MCD,258.4200134277344
2022-09-08,MCD,260.0799865722656
2022-09-09,MCD,259.5199890136719
2022-09-12,MCD,260.3699951171875
2022-09-13,MCD,254.3300018310547
2022-09-14,MCD,255.72000122070312
